GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/fullcalendar/fullcalendar/bootstrap-fullcalendar.css net::ERR_FILE_NOT_FOUND
index.html:25 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/fullcalendar/fullcalendar/fullcalendar.css net::ERR_FILE_NOT_FOUND
index.html:27 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/jquery-easy-pie-chart/jquery.easy-pie-chart.css net::ERR_FILE_NOT_FOUND
index.html:29 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/owl.carousel.css net::ERR_FILE_NOT_FOUND
index.html:30 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/jquery-jvectormap-1.2.2.css net::ERR_FILE_NOT_FOUND
index.html:32 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/fullcalendar.css net::ERR_FILE_NOT_FOUND
index.html:33 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/widgets.css net::ERR_FILE_NOT_FOUND
index.html:36 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/xcharts.min.css net::ERR_FILE_NOT_FOUND
index.html:37 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/css/jquery-ui-1.10.4.min.css net::ERR_FILE_NOT_FOUND
index.html:43 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery-ui-1.10.4.min.js net::ERR_FILE_NOT_FOUND
index.html:45 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery-ui-1.9.2.custom.min.js net::ERR_FILE_NOT_FOUND
index.html:52 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/jquery-knob/js/jquery.knob.js net::ERR_FILE_NOT_FOUND
index.html:53 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery.sparkline.js net::ERR_FILE_NOT_FOUND
index.html:54 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/jquery-easy-pie-chart/jquery.easy-pie-chart.js net::ERR_FILE_NOT_FOUND
index.html:55 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/owl.carousel.js net::ERR_FILE_NOT_FOUND
index.html:57 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/fullcalendar.min.js net::ERR_FILE_NOT_FOUND
index.html:59 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/fullcalendar/fullcalendar/fullcalendar.js net::ERR_FILE_NOT_FOUND
index.html:61 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/calendar-custom.js net::ERR_FILE_NOT_FOUND
index.html:62 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery.rateit.min.js net::ERR_FILE_NOT_FOUND
index.html:64 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery.customSelect.min.js net::ERR_FILE_NOT_FOUND
index.html:65 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/assets/chart-master/Chart.js net::ERR_FILE_NOT_FOUND
index.html:70 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/sparkline-chart.js net::ERR_FILE_NOT_FOUND
index.html:71 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/easy-pie-chart.js net::ERR_FILE_NOT_FOUND
index.html:72 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery-jvectormap-1.2.2.min.js net::ERR_FILE_NOT_FOUND
index.html:73 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery-jvectormap-world-mill-en.js net::ERR_FILE_NOT_FOUND
index.html:74 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/xcharts.min.js net::ERR_FILE_NOT_FOUND
index.html:75 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery.autosize.min.js net::ERR_FILE_NOT_FOUND
index.html:76 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/jquery.placeholder.min.js net::ERR_FILE_NOT_FOUND
index.html:77 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/gdp-data.js net::ERR_FILE_NOT_FOUND
index.html:78 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/morris.min.js net::ERR_FILE_NOT_FOUND
index.html:79 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/sparklines.js net::ERR_FILE_NOT_FOUND
index.html:80 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/js/charts.js net::ERR_FILE_NOT_FOUND
img/favicon.png:1 GET file:///C:/Users/fmcleverson/Desktop/AppFeira-master/Pocket%20Basic/img/favicon.png net::ERR_FILE_NOT_FOUND
